activity_type;side;efecto (+ / - / 0)
adjustment;credit;+
bank_transfer;credit;+
bank_transfer;debit;-
card;credit;+
card;debit;-
card;hold_captured;-
card;hold_created;-
card;hold_released;-
card_delivery;credit;+
card_delivery;debit;-
card_refund;credit;+
card_refund;debit;-
cash_load;credit;+
cash_load;debit;-
cash_withdrawal;credit;+
cash_withdrawal;debit;-
coinbase_onramp;credit;+
crypto_investment;credit;+
crypto_investment;debit;-
incoming_crypto;credit;+
incoming_crypto;debit;-
initial_funding;credit;+
international_transfer;credit;+
international_transfer;debit;-
other;credit;+
other;debit;-
p2p;credit;+
p2p;debit;-
prime_earn_reward;credit;+
prime_earn_transfer;credit;+
prime_earn_transfer;debit;-
reward;credit;+
rsr_balance_reward;credit;+
rsr_balance_reward;debit;-
rsr_cashback_weekly_reward;credit;+
rsr_cashback_weekly_reward;debit;-
rsr_referral_reward;credit;+
service_fee;credit;+
service_fee;debit;-
transfer_link;credit;+
transfer_link;debit;-
transfer_link;hold_created;-
transfer_link;hold_released;-
virtual_deposit;credit;+
withdraw_crypto;credit;+
withdraw_crypto;debit;-
