Year;Emissions (%);RSR received;;;;
5/1/2025;0.76%;113,344,529.01;;;;
6/1/2025;0.74%;111,612,214.87;;;;
7/1/2025;0.73%;109,906,376.76;;;;
8/1/2025;0.72%;108,226,610.02;;;;
9/1/2025;0.71%;106,572,516.19;;;;
10/1/2025;0.70%;104,943,702.90;;;;
11/1/2025;0.69%;103,339,783.75;;;;
12/1/2025;0.68%;101,760,378.29;;;;
1/1/2026;0.67%;100,205,111.86;;;;
2/1/2026;0.66%;98,673,615.52;;;;
3/1/2026;0.65%;97,165,525.98;;;;
4/1/2026;0.64%;95,680,485.49;;;;
5/1/2026;0.63%;94,218,141.80;;;;
6/1/2026;0.62%;92,778,148.00;;;;
7/1/2026;0.61%;91,360,162.52;;;;
8/1/2026;0.60%;89,963,848.97;;;;
9/1/2026;0.59%;88,588,876.15;;;;
10/1/2026;0.58%;87,234,917.88;;;;
11/1/2026;0.57%;85,901,652.99;;;;
12/1/2026;0.56%;84,588,765.20;;;;
1/1/2027;0.56%;83,295,943.09;;;;
2/1/2027;0.55%;82,022,879.97;;;;
3/1/2027;0.54%;80,769,273.86;;;;
4/1/2027;0.53%;79,534,827.38;;;;
5/1/2027;0.52%;78,319,247.71;;;;
6/1/2027;0.51%;77,122,246.49;;;;
7/1/2027;0.51%;75,943,539.77;;;;
8/1/2027;0.50%;74,782,847.95;;;;
9/1/2027;0.49%;73,639,895.70;;;;
10/1/2027;0.48%;72,514,411.90;;;;
11/1/2027;0.48%;71,406,129.55;;;;
12/1/2027;0.47%;70,314,785.76;;;;
