year_month,segment,user_count,percentage
2023-12,B:<10_S:<1,23167,99.07
2023-12,B:<100_S:<1,148,0.63
2023-12,B:<500_S:<1,32,0.14
2023-12,B:<3k_S:<1,12,0.05
2023-12,B:<1k_S:<1,10,0.04
2023-12,B:<10k_S:<1,8,0.03
2023-12,B:>10k_S:<1,5,0.02
2023-12,B:nan_S:<1,2,0.01
2024-01,B:<10_S:<1,23068,98.65
2024-01,B:<100_S:<1,227,0.97
2024-01,B:<500_S:<1,41,0.18
2024-01,B:<10k_S:<1,13,0.06
2024-01,B:<1k_S:<1,13,0.06
2024-01,B:<3k_S:<1,11,0.05
2024-01,B:nan_S:<1,6,0.03
2024-01,B:>10k_S:<1,5,0.02
2024-02,B:<10_S:<1,23022,98.45
2024-02,B:<100_S:<1,259,1.11
2024-02,B:<500_S:<1,43,0.18
2024-02,B:<3k_S:<1,17,0.07
2024-02,B:<10k_S:<1,15,0.06
2024-02,B:<1k_S:<1,13,0.06
2024-02,B:nan_S:<1,9,0.04
2024-02,B:>10k_S:<1,6,0.03
2024-03,B:<10_S:<1,23004,98.37
2024-03,B:<100_S:<1,270,1.15
2024-03,B:<500_S:<1,45,0.19
2024-03,B:<3k_S:<1,17,0.07
2024-03,B:<10k_S:<1,16,0.07
2024-03,B:nan_S:<1,14,0.06
2024-03,B:<1k_S:<1,13,0.06
2024-03,B:>10k_S:<1,5,0.02
2024-04,B:<10_S:<1,22993,98.33
2024-04,B:<100_S:<1,283,1.21
2024-04,B:<500_S:<1,45,0.19
2024-04,B:nan_S:<1,17,0.07
2024-04,B:<10k_S:<1,15,0.06
2024-04,B:<3k_S:<1,14,0.06
2024-04,B:<1k_S:<1,12,0.05
2024-04,B:>10k_S:<1,5,0.02
2024-05,B:<10_S:<1,22995,98.34
2024-05,B:<100_S:<1,284,1.21
2024-05,B:<500_S:<1,43,0.18
2024-05,B:<3k_S:<1,18,0.08
2024-05,B:nan_S:<1,18,0.08
2024-05,B:<10k_S:<1,13,0.06
2024-05,B:<1k_S:<1,9,0.04
2024-05,B:>10k_S:<1,4,0.02
2024-06,B:<10_S:<1,22963,98.2
2024-06,B:<100_S:<1,303,1.3
2024-06,B:<500_S:<1,48,0.21
2024-06,B:nan_S:<1,24,0.1
2024-06,B:<3k_S:<1,21,0.09
2024-06,B:<10k_S:<1,14,0.06
2024-06,B:<1k_S:<1,7,0.03
2024-06,B:>10k_S:<1,4,0.02
2024-07,B:<10_S:<1,22944,98.12
2024-07,B:<100_S:<1,311,1.33
2024-07,B:<500_S:<1,49,0.21
2024-07,B:nan_S:<1,31,0.13
2024-07,B:<3k_S:<1,20,0.09
2024-07,B:<10k_S:<1,14,0.06
2024-07,B:<1k_S:<1,8,0.03
2024-07,B:>10k_S:<1,7,0.03
2024-08,B:<10_S:<1,22925,98.04
2024-08,B:<100_S:<1,320,1.37
2024-08,B:<500_S:<1,49,0.21
2024-08,B:nan_S:<1,39,0.17
2024-08,B:<3k_S:<1,21,0.09
2024-08,B:<10k_S:<1,12,0.05
2024-08,B:<1k_S:<1,10,0.04
